"Journal","Recs","LCS","GCS"
"RUSSIAN JOURNAL OF HERPETOLOGY",8,12,52
"URSUS",1,14,52
"ONE HEALTH",4,0,51
"CLIMATIC CHANGE",5,1,50
"JOURNAL OF ASIA-PACIFIC ENTOMOLOGY",6,13,50
"LANDSCAPE AND URBAN PLANNING",3,1,50
"NORTH-WESTERN JOURNAL OF ZOOLOGY",8,7,50
"FOREST ECOSYSTEMS",3,0,49
"FRONTIERS IN ENVIRONMENTAL SCIENCE",6,0,49
"JOURNAL OF APPLIED REMOTE SENSING",3,0,49
"JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY",2,0,49
"ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY",2,7,48
"MARINE AND FRESHWATER RESEARCH",4,6,48
"TROPICAL MEDICINE & INTERNATIONAL HEALTH",1,17,48
"AQUATIC ECOLOGY",4,13,47
"MAMMALIAN BIOLOGY",6,9,47
"ZOOLOGISCHER ANZEIGER",2,9,47
"ANIMAL BEHAVIOUR",1,1,46
"AQUATIC BOTANY",3,0,46
"BIOCONTROL SCIENCE AND TECHNOLOGY",4,1,46
"ECOLOGY AND SOCIETY",3,0,46
"FRONTIERS IN VETERINARY SCIENCE",5,0,46
"JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH",4,4,46
"LAND USE POLICY",1,21,46
"MOVEMENT ECOLOGY",4,0,45
"BOTANICAL JOURNAL OF THE LINNEAN SOCIETY",4,2,44
"FRONTIERS IN PUBLIC HEALTH",3,0,44
"FRONTIERS IN ZOOLOGY",1,0,44
"PLANT DIVERSITY",2,6,44
"ENVIRONMENTAL TECHNOLOGY & INNOVATION",2,0,43
"ASIAN PACIFIC JOURNAL OF TROPICAL MEDICINE",2,4,42
"CERNE",2,7,42
"EUROPEAN JOURNAL OF FOREST RESEARCH",2,5,42
"MARINE MICROPALEONTOLOGY",1,2,42
"MITIGATION AND ADAPTATION STRATEGIES FOR GLOBAL CHANGE",2,6,42
"PLANT PATHOLOGY",2,0,42
"WILDLIFE RESEARCH",9,4,42
"ASIAN HERPETOLOGICAL RESEARCH",4,10,41
"HABITAT INTERNATIONAL",1,0,41
"INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE",4,8,41
"MAMMAL RESEARCH",7,6,41
"PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY",3,1,41
"ZOOLOGY IN THE MIDDLE EAST",5,4,41
"AVIAN RESEARCH",4,0,40
"JOURNAL OF WILDLIFE AND BIODIVERSITY",17,9,40
"LANDSCAPE AND ECOLOGICAL ENGINEERING",9,5,40
"CONDOR",3,1,39
"CONSERVATION GENETICS",2,0,39
"POLISH JOURNAL OF ENVIRONMENTAL STUDIES",6,7,39
"REVISTA CHAPINGO SERIE CIENCIAS FORESTALES Y DEL AMBIENTE",2,0,39
"AGRONOMY FOR SUSTAINABLE DEVELOPMENT",1,0,38
"GEOHEALTH",3,0,38
"HELGOLAND MARINE RESEARCH",1,0,38
"TREES FORESTS AND PEOPLE",10,0,38
"AGRICULTURAL WATER MANAGEMENT",1,0,37
"APPLICATIONS IN PLANT SCIENCES",2,0,36
"JOURNAL OF PHYCOLOGY",1,0,36
"JOURNAL OF FISH AND WILDLIFE MANAGEMENT",6,7,35
"ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA",4,8,34
"BRAZILIAN JOURNAL OF BOTANY",6,5,34
"EUROPEAN ZOOLOGICAL JOURNAL",2,9,34
"JOURNAL OF MARINE SYSTEMS",1,6,34
"JOURNAL OF THE TORREY BOTANICAL SOCIETY",2,5,34
"JOVE-JOURNAL OF VISUALIZED EXPERIMENTS",1,0,34
"PATHOGENS",4,0,34
"SOIL BIOLOGY & BIOCHEMISTRY",3,3,34
"WILDLIFE SOCIETY BULLETIN",3,5,34
"BIRD STUDY",4,6,33
"ECOLOGICAL COMPLEXITY",3,4,33
"JOURNAL OF FIELD ORNITHOLOGY",4,3,33
"TURKISH JOURNAL OF BOTANY",4,4,33
"ANIMAL BIODIVERSITY AND CONSERVATION",5,8,32
"APPLIED AND ENVIRONMENTAL MICROBIOLOGY",2,0,32
"ECOSYSTEMS",1,6,32
"EXPERIMENTAL AND APPLIED ACAROLOGY",4,9,32
"JOURNAL OF TROPICAL ECOLOGY",4,0,32
"PAKISTAN JOURNAL OF ZOOLOGY",3,11,32
"ACTA BOTANICA MEXICANA",5,3,31
"MARINE POLLUTION BULLETIN",3,0,31
"NATURE COMMUNICATIONS",1,0,31
"PHYSICAL GEOGRAPHY",2,3,31
"THEORETICAL AND APPLIED CLIMATOLOGY",12,5,31
"CROP & PASTURE SCIENCE",1,0,30
"DATA MINING AND KNOWLEDGE DISCOVERY",1,0,30
"PARASITOLOGY",3,2,30
"RANGELAND ECOLOGY & MANAGEMENT",3,7,30
"CONSERVATION PHYSIOLOGY",2,0,29
"DRONES",1,0,29
"FRONTIERS IN GENETICS",4,0,29
"MADERA Y BOSQUES",4,0,29
"ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS",1,6,28
"AUK",1,4,28
"BASIC AND APPLIED ECOLOGY",3,1,28
"GEOMORPHOLOGY",1,1,28
"ISME JOURNAL",1,4,28
"JOURNAL OF HUMAN EVOLUTION",1,5,28
"MATHEMATICS",2,0,28
"ORGANISMS DIVERSITY & EVOLUTION",4,4,28
"TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE",2,0,28
"TROPICAL BIOMEDICINE",2,8,28
"TROPICAL ZOOLOGY",3,6,28
"ACTA THERIOLOGICA",1,3,27
"CONTEMPORARY PROBLEMS OF ECOLOGY",6,7,27
"ENTOMOLOGIA GENERALIS",2,2,27
"EUROPEAN JOURNAL OF ENTOMOLOGY",2,9,27
"GEOCARTO INTERNATIONAL",2,2,27
"JOURNAL OF RAPTOR RESEARCH",4,7,27
"PLANT ECOLOGY AND EVOLUTION",5,1,27
"TROPICAL MEDICINE AND INFECTIOUS DISEASE",2,0,27
"BMC PUBLIC HEALTH",2,0,26
"JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE",1,0,26
"WETLANDS ECOLOGY AND MANAGEMENT",2,5,26
"ZOOKEYS",2,0,26
"ACTA ECOLOGICA SINICA",3,8,25
"AUSTRALASIAN JOURNAL OF ENVIRONMENTAL MANAGEMENT",1,6,25
"PLANT ECOLOGY & DIVERSITY",4,2,25
"RENEWABLE ENERGY",1,0,25
"REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL",1,5,25
"AFRICAN JOURNAL OF HERPETOLOGY",3,1,24
"EARTHS FUTURE",1,0,24
"FRONTIERS OF EARTH SCIENCE",3,7,24
"INTERNATIONAL JOURNAL OF BIOMETEOROLOGY",3,7,24
"JOURNAL OF VECTOR BORNE DISEASES",3,2,24
"REMOTE SENSING APPLICATIONS-SOCIETY AND ENVIRONMENT",4,0,24
"RIVER RESEARCH AND APPLICATIONS",2,13,24
"SCIENCE CHINA-EARTH SCIENCES",1,5,24
"ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS",5,0,23
"ARCHIVES OF BIOLOGICAL SCIENCES",2,6,23
"BOIS ET FORETS DES TROPIQUES",1,6,23
"EUROPEAN JOURNAL OF AGRONOMY",3,0,23
"FISH AND FISHERIES",1,3,23
"FOREST SYSTEMS",1,0,23
"INFECTIOUS DISEASES OF POVERTY",2,0,23
"MARINE MAMMAL SCIENCE",2,4,23
"PLANT GENETIC RESOURCES-CHARACTERIZATION AND UTILIZATION",2,5,23
"PLOS GLOBAL PUBLIC HEALTH",2,0,23
"ZOOLOGICAL STUDIES",5,0,23
"ANNALES ZOOLOGICI FENNICI",3,1,22
"AOB PLANTS",1,0,22
"CHINESE SCIENCE BULLETIN",1,4,22
"JOURNAL OF MOLLUSCAN STUDIES",3,1,22
"NORDIC JOURNAL OF BOTANY",4,4,22
"NOVA HEDWIGIA",2,1,22
"PARASITE EPIDEMIOLOGY AND CONTROL",1,0,22
"ZHURNAL OBSHCHEI BIOLOGII",2,7,22
"ACTA AMAZONICA",1,7,21
"ACTA OCEANOLOGICA SINICA",2,0,21
"AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY",1,4,21
"ECOLOGY OF FRESHWATER FISH",3,4,21
"ENTROPY",1,0,21
"ERDKUNDE",1,1,21
"FISHERY BULLETIN",1,2,21
"FISHES",6,0,21
"INTERNATIONAL JOURNAL OF REMOTE SENSING",3,0,21
"JOURNAL OF SYSTEMATICS AND EVOLUTION",2,0,21
"OIKOS",2,3,21
"PALEOCEANOGRAPHY",1,1,21
"PLANT SYSTEMATICS AND EVOLUTION",2,0,21
"ACTA ZOOLOGICA BULGARICA",4,2,20
